"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jason Heyward","Cubs","116","465","18","59","49","7","10.8 %","19.1 %",".188",".298",".266",".348",".454",".337","106","1.7","5.3","-4.4","1.6","4940"
"Elvis Andrus","Rangers","114","504","9","60","58","25","5.2 %","14.5 %",".124",".309",".279",".317",".403",".305","81","4.1","-8.2","6.6","1.6","8709"
"Avisail Garcia","Rays","101","436","17","49","57","9","6.4 %","23.6 %",".180",".335",".278",".335",".459",".334","110","-2.6","3.1","-2.3","1.6","5760"
"Christian Walker","Diamondbacks","119","474","22","65","56","7","10.8 %","26.2 %",".213",".313",".257",".344",".470",".342","107","2.0","6.6","-6.4","1.5","13419"
"Kevin Kiermaier","Rays","104","398","12","50","47","18","5.3 %","21.1 %",".179",".283",".243",".285",".422",".294","83","3.0","-5.4","7.1","1.5","11038"
"Marwin Gonzalez","Twins","104","422","14","47","47","1","7.1 %","20.6 %",".156",".309",".265",".327",".421",".318","95","0.6","-2.3","3.0","1.5","5497"
"Ryan Braun","Brewers","116","415","18","56","55","9","6.3 %","20.7 %",".214",".327",".286",".341",".500",".351","113","-0.4","7.0","-5.6","1.5","3410"
"Brian Dozier","Nationals","115","421","19","49","45","3","12.4 %","22.6 %",".209",".267",".236",".337",".445",".332","100","-0.8","-0.6","1.6","1.4","9810"
"Jose Iglesias","Reds","114","413","8","51","47","5","3.6 %","13.6 %",".122",".323",".293",".322",".415",".310","86","-1.0","-8.5","9.5","1.4","10231"
"Dexter Fowler","Cardinals","114","415","14","46","49","7","11.3 %","24.8 %",".177",".310",".250",".348",".427",".332","104","2.3","4.7","-3.8","1.4","4062"
"David Dahl","Rockies","100","413","15","67","61","4","6.8 %","26.6 %",".222",".386",".302",".353",".524",".363","108","0.7","5.1","-4.2","1.4","13744"
"Leury Garcia","White Sox","113","496","7","76","34","14","3.4 %","22.6 %",".104",".354",".281",".311",".384",".297","84","3.7","-6.2","3.1","1.4","5913"
"Kevin Pillar","- - -","126","497","18","67","69","10","2.8 %","14.3 %",".189",".271",".261",".290",".450",".304","87","2.6","-5.8","3.7","1.4","12434"
"Eddie Rosario","Twins","107","461","27","74","85","3","3.9 %","13.7 %",".233",".275",".284",".308",".517",".338","108","0.3","5.2","-8.0","1.3","12155"
"Cesar Hernandez","Phillies","124","505","8","54","53","7","5.7 %","14.5 %",".114",".319",".283",".331",".397",".310","88","1.6","-6.2","2.6","1.3","10556"
"Ryan McMahon","Rockies","107","406","17","56","63","5","11.1 %","28.6 %",".200",".351",".269",".350",".469",".346","96","0.4","-1.5","1.1","1.3","15112"
"Asdrubal Cabrera","- - -","103","408","13","51","61","4","11.0 %","21.8 %",".166",".287",".245",".331",".411",".316","88","-1.4","-7.5","5.8","1.2","4962"
"Jason Kipnis","Indians","102","436","13","42","58","6","8.3 %","17.0 %",".160",".280",".255",".316",".415",".308","86","0.4","-7.5","4.4","1.2","9776"
"Yasiel Puig","- - -","116","472","24","60","71","16","6.1 %","22.0 %",".221",".291",".263",".316",".484",".332","101","-0.7","-0.1","-3.6","1.2","14225"
"Robbie Grossman","Athletics","107","393","6","46","34","8","13.0 %","17.3 %",".115",".296",".251",".349",".366",".313","96","0.1","-2.0","-1.1","1.0","5254"
"Kyle Schwarber","Cubs","119","467","28","60","64","1","12.2 %","25.5 %",".259",".246",".229",".325",".488",".336","105","-1.7","1.4","-6.2","1.0","16478"
"Lorenzo Cain","Brewers","115","508","8","61","40","15","8.3 %","16.9 %",".107",".294",".254",".321",".361",".296","78","1.1","-13.8","7.6","1.0","9077"
"Adam Frazier","Pirates","116","470","6","58","32","3","6.8 %","12.1 %",".119",".292",".264",".325",".383",".302","85","0.4","-9.0","2.6","0.9","15223"
"Jackie Bradley Jr.","Red Sox","115","457","15","54","49","7","9.6 %","25.4 %",".181",".276",".224",".317",".406",".308","85","1.3","-7.3","0.1","0.9","12984"
"Randal Grichuk","Blue Jays","119","495","23","59","58","2","6.5 %","26.7 %",".207",".283",".238",".293",".445",".309","91","-2.0","-7.6","-1.0","0.9","10243"
"Todd Frazier","Mets","101","389","16","45","50","1","7.2 %","22.9 %",".184",".266",".232",".303",".416",".306","92","-0.7","-5.1","1.0","0.8","785"
"Jose Abreu","White Sox","124","536","28","63","94","2","4.9 %","22.2 %",".223",".303",".273",".313",".496",".333","109","-5.5","0.4","-10.9","0.8","15676"
"Wilson Ramos","Mets","110","410","13","43","61","0","9.3 %","12.9 %",".133",".295",".279",".346",".412",".322","102","-4.8","-3.9","-1.4","0.8","1433"
"Alex Gordon","Royals","119","509","12","66","63","5","7.7 %","15.9 %",".144",".289",".260",".333",".404",".314","93","-1.8","-6.4","-4.4","0.7","5209"
"Yolmer Sanchez","White Sox","115","419","2","45","30","5","7.2 %","22.0 %",".071",".326",".251",".312",".323",".278","72","1.8","-13.5","5.5","0.7","11602"
"Eric Hosmer","Padres","124","527","18","63","82","0","6.5 %","20.9 %",".164",".333",".285",".332",".450",".328","103","-3.7","-1.9","-9.5","0.6","3516"
"Renato Nunez","Orioles","120","484","27","62","72","0","7.4 %","24.0 %",".232",".262",".239",".306",".472",".324","100","0.5","0.8","-12.0","0.6","14503"
"Justin Smoak","Blue Jays","102","424","19","48","52","0","16.5 %","20.8 %",".201",".227",".213",".351",".414",".332","106","-3.5","0.0","-9.2","0.6","9054"
"Joey Votto","Reds","113","486","12","60","39","4","11.7 %","20.6 %",".149",".315",".262",".352",".410",".328","98","-1.9","-3.3","-7.0","0.6","4314"
"Nomar Mazara","Rangers","109","443","17","65","62","4","5.9 %","22.6 %",".197",".313",".268",".318",".466",".326","95","-0.3","-3.3","-7.6","0.5","14553"
"Matt Carpenter","Cardinals","96","397","11","47","33","6","12.8 %","25.7 %",".152",".269",".214",".323",".366",".301","84","0.1","-8.2","-0.5","0.4","8090"
"Colin Moran","Pirates","119","391","11","37","64","0","6.4 %","23.5 %",".155",".349",".283",".330",".438",".321","97","-1.0","-2.4","-6.7","0.4","16909"
"Domingo Santana","Mariners","115","496","21","63","69","8","9.9 %","32.1 %",".193",".350",".256",".332",".449",".330","110","0.8","7.1","-21.6","0.3","10348"
"Mallex Smith","Mariners","105","459","5","56","31","34","7.0 %","25.9 %",".115",".316",".235",".301",".350",".283","78","7.3","-5.7","-8.1","0.2","13608"
"Adam Jones","Diamondbacks","115","449","14","61","57","2","5.1 %","18.3 %",".161",".304",".270",".317",".431",".315","90","-1.7","-8.0","-4.7","0.2","6368"
"Franmil Reyes","- - -","118","424","29","48","53","0","7.8 %","28.1 %",".255",".259",".239",".295",".494",".323","99","-3.4","-3.9","-8.7","0.1","14566"
"C.J. Cron","Twins","99","411","20","42","66","0","6.1 %","20.0 %",".216",".280",".259",".319",".475",".330","103","-5.0","-3.5","-9.6","0.1","12546"
"Nick Markakis","Braves","104","416","9","57","55","2","10.3 %","12.7 %",".145",".307",".284",".358",".429",".336","103","-1.8","0.1","-12.7","0.1","5930"
"Josh Reddick","Astros","113","449","10","45","37","4","6.2 %","11.4 %",".117",".271",".260",".302",".377",".288","81","0.3","-10.8","-4.4","0.1","3892"
"Jurickson Profar","Athletics","107","398","15","45","51","7","6.8 %","15.3 %",".176",".204",".204",".269",".380",".274","69","1.4","-14.3","0.1","0.0","10815"
"Rougned Odor","Rangers","111","450","21","58","67","8","8.9 %","31.6 %",".215",".252",".203",".281",".418",".293","73","-0.1","-16.0","-0.3","0.0","12282"
"Starlin Castro","Marlins","124","518","11","41","58","2","3.5 %","16.6 %",".118",".294",".262",".286",".380",".280","74","-2.4","-20.7","2.4","-0.1","4579"
"Orlando Arcia","Brewers","119","436","14","47","46","7","8.5 %","20.2 %",".140",".257",".228",".292",".368",".278","66","1.5","-18.2","2.6","-0.1","13185"
"Brandon Belt","Giants","121","489","14","62","48","3","14.3 %","20.2 %",".160",".264",".228",".342",".387",".316","95","-2.8","-6.1","-11.7","-0.2","10264"
"Albert Pujols","Angels","100","414","19","43","73","1","7.5 %","13.0 %",".193",".238",".247",".304",".440",".310","95","-3.4","-5.9","-10.5","-0.2","1177"
"Joe Panik","- - -","113","421","3","42","30","4","9.0 %","9.5 %",".083",".262",".243",".314",".325",".280","71","-2.7","-18.7","2.9","-0.2","11936"
"Brandon Crawford","Giants","115","443","9","46","49","3","8.8 %","22.3 %",".123",".273",".224",".296",".347",".276","69","-0.7","-19.0","2.2","-0.2","5343"
"Miguel Cabrera","Tigers","111","451","9","32","50","0","8.2 %","20.2 %",".111",".341",".283",".344",".393",".316","95","-5.3","-8.2","-11.1","-0.3","1744"
"Ian Desmond","Rockies","111","393","14","53","56","3","7.4 %","24.7 %",".209",".316",".259",".316",".468",".327","84","-0.8","-9.0","-9.0","-0.5","6885"
"Khris Davis","Athletics","104","417","17","48","53","0","8.4 %","26.6 %",".156",".263",".220",".290",".376",".283","76","-1.4","-14.3","-10.4","-1.0","9112"
